Timestamp,gender,age,academic_level,field_of_study,university,employment_status,hours_spend_studying,attendance,help_from_professors,extracurricular_activities,GPA,study_env,background_noise,study_time,studying_in_groups,resources,breaks,avg_sleep,eating_habits,eat_freq,consumed_beverages,caffeine_freq,physical_activity_freq,manage_stress,academic_goals,future_plans
11/17/2023 17:00:25,Female,18-24,Junior,Law,JGU Mainz,Employed part-time,41 to 50 hours,"Yes, always",Occasionally,No,3.7,"Library, Home",Comfortable with some ambient noise,"Late morning, Afternoon, Evening",Prefer studying alone,"Textbooks, Online articles and resources, Lecture notes",10 to 20 minutes,7 to 8 hours,Somewhat healthy,"Three times (breakfast, lunch, dinner)","Water, Coffee",Daily,Several times a week,"Exercise, Spending time in nature, Taking short breaks between study sessions, Watching movies or TV shows, Hanging out with friends/family",Explore new academic interests,"Yes, but after gaining work experience"
11/17/2023 17:07:15,Female,18-24,Junior,Law,JGU Mainz,Employed part-time,41 to 50 hours,"Yes, always",Occasionally,No,3.3,"Library, Campus Common Spaces","Prefer complete silence, Comfortable with some ambient noise","Early morning, Late morning, Afternoon",Enjoy occasional group study sessions,"Textbooks, Online articles and resources, Lecture notes",10 to 20 minutes,7 to 8 hours,Somewhat healthy,"Three times (breakfast, lunch, dinner)","Water, Coffee",Daily,Once a week,"Listening to music, Spending time in nature, Hanging out with friends/family",Improve grades in specific subjects,"Yes, immediately after graduation"
11/17/2023 13:57:01,Female,18-24,Sophomore,Engineering Science,AUA,Unemployed,Less than 10 hours,"Yes, most of the time",Rarely,No,2.15,"Library, Home","Comfortable with some ambient noise, Prefer a bustling environment",No specific preference,Prefer studying alone,"Online articles and resources, Videos and multimedia, Lecture notes",10 to 20 minutes,5 to 6 hours,Somewhat unhealthy,Two times,Coffee,Multiple times a day,Never,"Engaging in a hobby or creative activity, Hanging out with friends/family",Improve grades in specific subjects,"Yes, immediately after graduation"
11/19/2023 13:09:19,Female,18-24,Junior,English and Communications,AUA,Unemployed,11 to 20 hours,"Yes, always",Rarely,Yes,2.2,"Library, Coffee shop, Classroom","Comfortable with some ambient noise, Like listening to music","Early morning, Evening, Night",Enjoy occasional group study sessions,"Textbooks, Online articles and resources, Videos and multimedia, Lecture notes, Interactive simulations or applications",10 to 20 minutes,5 to 6 hours,Somewhat healthy,I don't have regular meal times,"Water, Tea",Occasionally,Several times a week,"Exercise, Listening to music, Engaging in a hobby or creative activity, Spending time in nature, Taking short breaks between study sessions, Watching movies or TV shows, Hanging out with friends/family","Better my GPA and dont leave assignments overdue. Read more, apply mor theory in practice.",Undecided
11/18/2023 21:19:51,Male,18-24,Freshman,Data Science,AUA,Unemployed,31 to 40 hours,"Yes, always",Occasionally,No,2.41,"Library, Home, Computer Labs","Prefer complete silence, Comfortable with some ambient noise, Like listening to music","Late morning, Afternoon, Evening",Enjoy occasional group study sessions,Lecture notes,41 to one hour,7 to 8 hours,Somewhat healthy,"Three times (breakfast, lunch, dinner)","Water, Tea",Occasionally,Several times a week,"Listening to music, Taking short breaks between study sessions, Watching movies or TV shows, Hanging out with friends/family",Improve grades in specific subjects,"Yes, but after gaining work experience"
11/17/2023 17:27:40,Female,18-24,Senior,Computer Science,AUA,Employed part-time,11 to 20 hours,"Yes, most of the time",Rarely,No,2.5,Home,Prefer complete silence,Evening,Enjoy occasional group study sessions,"Online articles and resources, Videos and multimedia, Lecture notes",More than an hour,7 to 8 hours,Neutral,"Three times (breakfast, lunch, dinner)",Water,Daily,Rarely,"Listening to music, Engaging in a hobby or creative activity, Spending time in nature, Watching movies or TV shows, Hanging out with friends/family",Explore new academic interests,"Yes, but after gaining work experience"
11/17/2023 12:57:22,Male,18-24,Sophomore,Engineering Science,AUA,Unemployed,21 to 30 hours,Rarely,Rarely,No,2.6,Bathroom,Like listening to music,No specific preference,Enjoy occasional group study sessions,"Online articles and resources, Videos and multimedia, Lecture notes",10 to 20 minutes,5 to 6 hours,Somewhat unhealthy,Two times,Coffee,Multiple times a day,Daily,I dont manage stress,Improve grades or at least survive,Undecided
11/17/2023 16:38:57,Male,18-24,Senior,Computer Science,AUA,Employed part-time,41 to 50 hours,"Yes, most of the time",Occasionally,Yes,2.686,Student Union,"Comfortable with some ambient noise, Like listening to music","Late morning, Afternoon, Evening",Enjoy occasional group study sessions,"Textbooks, Online articles and resources, Videos and multimedia, Lecture notes, Interactive simulations or applications",10 to 20 minutes,7 to 8 hours,Neutral,"Three times (breakfast, lunch, dinner)","Water, Tea, Coffee, Soft drinks/sodas",Daily,Never,Recently I started playing ukulele,Maintain current academic standing,"No, I do not plan to pursue further education"
11/17/2023 11:48:49,Female,18-24,Senior,Data Science,AUA,Employed part-time,Less than 10 hours,Occasionally,Rarely,Yes,2.7,"Home, Campus Common Spaces","Prefer complete silence, Comfortable with some ambient noise","Afternoon, Evening, Night",Prefer studying in a group regularly,"Online articles and resources, Videos and multimedia, Interactive simulations or applications",21 to 40 minutes,5 to 6 hours,Somewhat unhealthy,I don't have regular meal times,"Tea, Coffee",Daily,Rarely,"Listening to music, Engaging in a hobby or creative activity, Watching movies or TV shows, Hanging out with friends/family",Improve grades in specific subjects,"Yes, but after gaining work experience"
11/17/2023 12:51:11,Male,18-24,Junior,Computer Science,JGU Mainz,Employed part-time,11 to 20 hours,"Yes, most of the time",Occasionally,Yes,2.3,Library,Comfortable with some ambient noise,"Afternoon, Evening, Night",Enjoy occasional group study sessions,"Online articles and resources, Videos and multimedia",21 to 40 minutes,7 to 8 hours,Somewhat healthy,"Three times (breakfast, lunch, dinner)","Water, Soft drinks/sodas",Rarely or never,Rarely,Hanging out with friends/family,Maintain current academic standing,"Yes, immediately after graduation"
11/19/2023 15:40:22,Male,18-24,Graduate student,Law,HSE,Employed full-time,21 to 30 hours,Occasionally,Occasionally,Yes,2.76,"Library, Home, Campus Common Spaces",Prefer complete silence,"Evening, Night",Prefer studying alone,"Online articles and resources, Videos and multimedia, Lecture notes",10 to 20 minutes,7 to 8 hours,Somewhat unhealthy,Two times,"Water, Tea, Soft drinks/sodas",I don't consume caffeinated beverages,Several times a week,"Listening to music, Engaging in a hobby or creative activity, Taking short breaks between study sessions, Watching movies or TV shows, Hanging out with friends/family",Maintain current academic standing,"No, I do not plan to pursue further education"
11/17/2023 11:59:33,Female,18-24,Senior,Data Science,AUA,Employed full-time,Less than 10 hours,Occasionally,Rarely,Yes,2.8,Home,Prefer a bustling environment,No specific preference,Enjoy occasional group study sessions,Online articles and resources,More than an hour,Less than 5 hours,Unhealthy,Two times,Tea,Multiple times a day,Rarely,"Listening to music, Watching movies or TV shows, Hanging out with friends/family, Sleep",Maintain current academic standing,"Yes, but after gaining work experience"
