"id","study_env_Campus Common Spaces","study_env_Classroom","study_env_Coffee shop","study_env_Home","study_env_Library","study_env_Other","study_env_Park or outdoor space","background_noise_Comfortable with some ambient noise","background_noise_Like listening to music","background_noise_Prefer a bustling environment","background_noise_Prefer complete silence","study_time_Afternoon","study_time_Early morning","study_time_Evening","study_time_Late morning","study_time_Night","study_time_No specific preference","resources_Interactive simulations or applications","resources_Lecture notes","resources_Online articles and resources","resources_Other","resources_Textbooks","resources_Videos and multimedia","consumed_beverages_Coffee","consumed_beverages_Energy drinks","consumed_beverages_Soft drinks/sodas","consumed_beverages_Tea","consumed_beverages_Water","manage_stress_Engaging in a hobby or creative activity","manage_stress_Exercise","manage_stress_Hanging out with friends/family","manage_stress_Listening to music","manage_stress_Meditation","manage_stress_Other","manage_stress_Spending time in nature","manage_stress_Taking short breaks between study sessions","manage_stress_Watching movies or TV shows","timestamp","gender","age","academic_level","field_of_study","university","employment_status","hours_spend_studying","attendance","help_from_professors","extracurricular_activities","gpa","studying_in_groups","breaks","avg_sleep","eating_habits","eat_freq","caffeine_freq","physical_activity_freq","academic_goals","future_plans"
1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,"11/17/2023 17:00:25","Female","18-24","Junior","Law","JGU Mainz","Employed part-time","41 to 50 hours","Yes, always","Occasionally","No",3.7,"Prefer studying alone","10 to 20 minutes","7 to 8 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Daily","Several times a week","Explore new academic interests","Yes, but after gaining work experience"
2,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,"11/17/2023 17:07:15","Female","18-24","Junior","Law","JGU Mainz","Employed part-time","41 to 50 hours","Yes, always","Occasionally","No",3.3,"Enjoy occasional group study sessions","10 to 20 minutes","7 to 8 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Daily","Once a week","Improve grades in specific subjects","Yes, immediately after graduation"
3,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,"11/17/2023 13:57:01","Female","18-24","Sophomore","Engineering Science","AUA","Unemployed","Less than 10 hours","Yes, most of the time","Rarely","No",2.15,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Somewhat unhealthy","Two times","Multiple times a day","Never","Improve grades in specific subjects","Yes, immediately after graduation"
4,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,"11/19/2023 13:09:19","Female","18-24","Junior","English and Communications","AUA","Unemployed","11 to 20 hours","Yes, always","Rarely","Yes",2.2,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat healthy","I don't have regular meal times","Occasionally","Several times a week","Other","Undecided"
5,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,"11/18/2023 21:19:51","Male","18-24","Freshman","Data Science","AUA","Unemployed","31 to 40 hours","Yes, always","Occasionally","No",2.41,"Enjoy occasional group study sessions","41 to one hour","7 to 8 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Occasionally","Several times a week","Improve grades in specific subjects","Yes, but after gaining work experience"
6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,"11/17/2023 17:27:40","Female","18-24","Senior","Computer Science","AUA","Employed part-time","11 to 20 hours","Yes, most of the time","Rarely","No",2.5,"Enjoy occasional group study sessions","More than an hour","7 to 8 hours","Neutral","Three times (breakfast, lunch, dinner)","Daily","Rarely","Explore new academic interests","Yes, but after gaining work experience"
7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"11/17/2023 12:57:22","Male","18-24","Sophomore","Engineering Science","AUA","Unemployed","21 to 30 hours","Rarely","Rarely","No",2.6,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat unhealthy","Two times","Multiple times a day","Daily","Other","Undecided"
8,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,"11/17/2023 16:38:57","Male","18-24","Senior","Computer Science","AUA","Employed part-time","41 to 50 hours","Yes, most of the time","Occasionally","Yes",2.686,"Enjoy occasional group study sessions","10 to 20 minutes","7 to 8 hours","Neutral","Three times (breakfast, lunch, dinner)","Daily","Never","Maintain current academic standing","No, I do not plan to pursue further education"
9,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,"11/17/2023 11:48:49","Female","18-24","Senior","Data Science","AUA","Employed part-time","Less than 10 hours","Occasionally","Rarely","Yes",2.7,"Prefer studying in a group regularly","21 to 40 minutes","5 to 6 hours","Somewhat unhealthy","I don't have regular meal times","Daily","Rarely","Improve grades in specific subjects","Yes, but after gaining work experience"
10,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"11/17/2023 12:51:11","Male","18-24","Junior","Computer Science","JGU Mainz","Employed part-time","11 to 20 hours","Yes, most of the time","Occasionally","Yes",2.3,"Enjoy occasional group study sessions","21 to 40 minutes","7 to 8 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Rarely or never","Rarely","Maintain current academic standing","Yes, immediately after graduation"
11,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,"11/19/2023 15:40:22","Male","18-24","Graduate student","Law","HSE","Employed full-time","21 to 30 hours","Occasionally","Occasionally","Yes",2.76,"Prefer studying alone","10 to 20 minutes","7 to 8 hours","Somewhat unhealthy","Two times","I don't consume caffeinated beverages","Several times a week","Maintain current academic standing","No, I do not plan to pursue further education"
12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,"11/17/2023 11:59:33","Female","18-24","Senior","Data Science","AUA","Employed full-time","Less than 10 hours","Occasionally","Rarely","Yes",2.8,"Enjoy occasional group study sessions","More than an hour","Less than 5 hours","Unhealthy","Two times","Multiple times a day","Rarely","Maintain current academic standing","Yes, but after gaining work experience"
13,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"11/17/2023 13:23:06","Male","18-24","Sophomore","Engineering Science","AUA","Unemployed","21 to 30 hours","Yes, most of the time","Frequently","No",2.8,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Unhealthy","Two times","Multiple times a day","Rarely","Maintain current academic standing","Yes, but after gaining work experience"
14,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,"11/17/2023 15:14:04","Female","18-24","Senior","Biology","JGU Mainz","Employed part-time","11 to 20 hours","Yes, most of the time","Rarely","Yes",2.38,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Neutral","Four or more times","Daily","Once a week","Improve grades in specific subjects","Yes, immediately after graduation"
